terme,definition,reference,exclusions,langue,doc_id,modele,nom_scientifique,exchanges
Pétrolier livré le 1er juin 1982 ou avant cette date,"un pétrolier : .............................1.1 dont le contrat de construction est passé le 1er juin 1979 ou avant cette date; ou .............................1.2 en l’absence d’un contrat de construction, dont la quille est posée ou qui se trouve dans un état d’avancement équivalent le 1er janvier 1980 ou avant cette date; ou .............................1.3 dont la livraison s’effectue le 1er juin 1982 ou avant cette date; ou .............................1.4 qui a subi une transformation importante : .............................1.............................1.1 dont le contrat est passé le 1er juin 1979 ou avant cette date; ou .............................1.............................1.2 en l’absence de tout contrat, dont les travaux ont commencé le 1er janvier 1980 ou avant cette date; ou .............................1.............................1.3 qui est achevée le 1er juin 1982 ou avant cette date.",Article 28.3,,fr,I005b,qwen3-8b,,
Pétrolier livré après le 1er juin 1982,"désigne un pétrolier : 1.1 dont le contrat de construction est passé après le 1er juin 1979; ou 1.2 en l’absence d’un contrat de construction, dont la quille est posée ou qui se trouve dans un état d’avancement équivalent après le 1er janvier 1980; ou 1.3 dont la livraison s’effectue après le 1er juin 1982; ou 1.4 qui a subi une transformation importante : 1.1 dont le contrat est passé après le 1er juin 1979; ou 1.2 en l’absence de tout contrat, dont les travaux ont commencé après le 1er janvier 1980; ou 1.3 qui est achevée après le 1er juin 1982.",28.4,,fr,I005b,qwen3-8b,,
Pétrolier livré avant le 6 juillet 1996,"désigne un pétrolier : 1.1 dont le contrat de construction est passé avant le 6 juillet 1993; ou 1.2 en l’absence d’un contrat de construction, dont la quille est posée ou qui se trouve dans un état d’avancement équivalent avant le 6 janvier 1994; ou 1.3 dont la livraison s’effectue avant le 6 juillet 1996; ou 1.4 qui a subi une transformation importante : 1.1 dont le contrat est passé avant le 6 juillet 1993; ou 1.2 en l’absence de tout contrat, dont les travaux ont commencé avant le 6 janvier 1994; ou 1.3 qui est achevée avant le 6 juillet 1996.",28.5,,fr,I005b,qwen3-8b,,
Pétrolier livré le 6 juillet 1996 ou après cette date,"désigne un pétrolier : 1.1 dont le contrat de construction est passé le 6 juillet 1993 ou après cette date; ou 1.2 en l’absence d’un contrat de construction, dont la quille est posée ou qui se trouve dans un état d’avancement équivalent le 6 janvier 1994 ou après cette date; ou 1.3 dont la livraison s’effectue le 6 juillet 1996 ou après cette date; ou 1.4 qui a subi une transformation importante : 1.1 dont le contrat est passé le 6 juillet 1993 ou après cette date; ou 1.2 en l’absence de tout contrat, dont les travaux ont commencé le 6 janvier 1994 ou après cette date; ou 1.3 qui est achevée le 6 juillet 1996 ou après cette date.",28.6,,fr,I005b,qwen3-8b,,
Pétrolier livré le 1er février 2002 ou après cette date,"un pétrolier : 1.1 dont le contrat de construction est passé le 1er février 1999 ou après cette date; ou 1.2 en l’absence d’un contrat de construction, dont la quille est posée ou qui se trouve dans un état d’avancement équivalent le 1er août 1999 ou après cette date; ou 1.3 dont la livraison s’effectue le 1er février 2002 ou après cette date; ou 1.4 qui a subi une transformation importante : 1.1 dont le contrat est passé le 1er février 1999 ou après cette date; ou 1.2 en l’absence de tout contrat, dont les travaux ont commencé le 1er août 1999 ou après cette date; ou 1.3 qui est achevée le 1er février 2002 ou après cette date.",28.7,,fr,I005b,qwen3-8b,,
Pétrolier livré le 1er janvier 2010 ou après cette date,"un pétrolier : 1.1 dont le contrat de construction est passé le 1er janvier 2007 ou après cette date; ou 1.2 en l’absence d’un contrat de construction, dont la quille est posée ou qui se trouve dans un état d’avancement équivalent le 1er juillet 2007 ou après cette date; ou 1.3 dont la livraison s’effectue le 1er janvier 2010 ou après cette date; ou 1.4 qui a subi une transformation importante : 1.1 dont le contrat est passé le 1er janvier 2007 ou après cette date; ou 1.2 en l’absence de tout contrat, dont les travaux ont commencé le 1er juillet 2007 après cette date; ou 1.3 qui est achevée le 1er janvier 2010 ou après cette date.",28.8,,fr,I005b,qwen3-8b,,
Navire livré le 1er août 2010 ou après cette date,"un navire : 11. Dont le contrat de construction est passé le 1er août 2007 ou après cette date ; ou 12. En l'absence d'un contrat de construction, dont la quille est posée ou dont la construction se trouve à un stade d'avancement équivalent le 1er février 2008 ou après cette date ; ou 13. Dont la livraison s'effectue le 1er août 2010 ou après cette date ; ou",28.9,,fr,I005b,qwen3-8b,,
Parts par million (ppm),"les parts d’hydrocarbures par million de parts d’eau, en volume.",Article 30,,fr,I005b,qwen3-8b,,
Navire construit,un navire dont la quille est posée ou dont la construction se trouve à un stade équivalent.,Article 31,,fr,I005b,qwen3-8b,,
Résidus d'hydrocarbures (boues),"les déchets résiduaires d'hydrocarbures produits pendant l'exploitation normale du navire tels que ceux qui proviennent de la purification du combustible ou de l'huile de graissage utilisés pour les machines principales ou auxiliaires, de l'huile usée obtenue par séparation qui provient du matériel de filtrage des hydrocarbures, de l'huile usée recueillie dans des gattes et des huiles hydrauliques et lubrifiantes usées.",Article 32,,fr,I005b,qwen3-8b,,
Citerne à résidus d'hydrocarbures (boues),une citerne qui sert à stocker les résidus d'hydrocarbures (boues) à partir de laquelle les résidus d'hydrocarbures (boues) peuvent être évacués directement au moyen du raccord normalisé de jonction des tuyautages d'évacuation ou par tout autre moyen d'évacuation approuvé.,Article 32,,fr,I005b,qwen3-8b,,
Eaux de cale polluées par les hydrocarbures,"les eaux qui peuvent être contaminées par des hydrocarbures provenant, par exemple, de fuites ou de travaux d'entretien dans la tranche des machines. Tous les liquides pénétrant dans le système d'assèchement des cales, y compris les puisards, les tuyautages d'assèchement des cales, le plafond de ballast ou les citernes de stockage des eaux de cale, sont considérés comme des eaux de cale polluées par les hydrocarbures.",Article 34,,fr,I005b,qwen3-8b,,
Citerne de stockage des eaux de cale polluées,"une citerne qui sert à recueillir les eaux de cale polluées avant leur rejet, leur transfert ou leur évacuation.",Règle 2,,fr,I005b,qwen3-8b,,
Carcasses d'animaux,les corps d'animaux qui sont transportés à bord en tant que cargaison et qui meurent ou sont euthanasiés pendant le voyage.,1.,,fr,I006,qwen3-8b,,
Résidus de cargaison,"les restes de cargaisons qui ne sont pas visés par d'autres chapitres de la présente division et qui subsistent sur le pont ou dans les cales après le chargement ou le déchargement, y compris ceux qui ont débordé ou été déversés au cours du chargement et du déchargement, qu'ils soient à l'état sec ou humide ou entraînés dans les eaux de lavage, mais à l'exclusion des poussières produites par la cargaison qui restent sur le pont après balayage ou des poussières restant sur les surfaces extérieures du navire.",2.,,fr,I006,qwen3-8b,,
Huile à friture,"tout type d'huile comestible ou de graisse animale utilisée ou destinée à être utilisée dans la préparation ou la cuisson des aliments, à l'exclusion des aliments eux-mêmes ainsi préparés.",3.,,fr,I006,qwen3-8b,,
Déchets domestiques,tous les types de déchets non visés par d'autres chapitres qui sont produits dans les locaux d'habitation à bord du navire. Les déchets domestiques ne comprennent pas les eaux grises.,4.,,fr,I006,qwen3-8b,,
En route,"que le navire fait route en mer en suivant une ou des routes, qui peuvent s'écarter de la route directe la plus courte, de manière que, dans la mesure où les besoins de la navigation le permettent, tout rejet puisse se disperser sur une zone de la mer aussi étendue qu'il est raisonnablement possible dans la pratique.",5.,,fr,I006,qwen3-8b,,
Apparaux de pêche,tout dispositif ou partie de dispositif ou toute combinaison d'objets qui peuvent être placés sur l'eau ou dans l'eau ou bien sur le fond de la mer dans le but de capturer des organismes d'eau douce ou d'eau salée ou de les maîtriser en vue de les capturer ou de les récolter par la suite.,6.,,fr,I006,qwen3-8b,,
Plates-formes fixes ou flottantes,"les structures fixes ou flottantes situées en mer qui se livrent à l'exploration, à l'exploitation ou au traitement offshore des ressources minérales du fond des mers.",7.,,fr,I006,qwen3-8b,,
Déchets alimentaires,"toutes substances alimentaires avariées ou intactes et comprend les fruits, légumes, produits laitiers, volaille, viande et détritus alimentaires produits à bord du navire.",8.,,fr,I006,qwen3-8b,,
Ordures,"tous les types de déchets alimentaires, déchets domestiques et déchets d'exploitation, toutes les matières plastiques, les résidus de cargaison, les cendres d'incinération, les huiles à friture, les apparaux de pêche et les carcasses d'animaux qui sont produits au cours de l'exploitation normale du navire et sont susceptibles d'être évacués de façon continue ou périodique, à l'exception des substances qui sont définies ou énumérées dans d'autres chapitres de la présente division. Les ordures ne comprennent pas le poisson frais entier ou non qui provient des activités de pêche menées au cours du voyage ou d'activités d'aquaculture qui comprennent le transport de poisson ou de crustacés en vue de leur transfert dans des installations aquacoles et le transport de poisson ou de crustacés depuis ces installations jusqu'à terre aux fins de traitement.",Article 10 / Règle 1,le poisson frais entier ou non qui provient des activités de pêche menées au cours du voyage ou d'activités d'aquaculture qui comprennent le transport de poisson ou de crustacés en vue de leur transfert dans des installations aquacoles et le transport de poisson ou de crustacés depuis ces installations jusqu'à terre aux fins de traitement.,fr,I006,qwen3-8b,,
Cendres d'incinération,les cendres et scories provenant d'incinérateurs de bord utilisés pour l'incinération des ordures.,Article 10 / Règle 1,,fr,I006,qwen3-8b,,
Terre la plus proche,"à partir de la ligne de base qui sert à déterminer la mer territoriale du territoire en question conformément au droit international ; toutefois, aux fins du présent chapitre, l'expression « à partir de la terre la plus proche » de la côte nord-est de l'Australie signifie à partir d'une ligne reliant le point de latitude 11° 00'S et de longitude 142° 08'E sur la côte de l'Australie et le point de latitude 10° 35'S et de longitude 141° 55'E puis les points suivants : ? latitude 10° 00'S et longitude 142° 00'E ; ? latitude 09° 10'S et longitude 143° 52'E ; ? latitude 09° 00'S et longitude 144° 30'E ; ? latitude 10° 41'S et longitude 145° 00'E ; ? latitude 13° 00'S et longitude 145° 00'E ; ? latitude 15° 00'S et longitude 146° 00'E ; ? latitude 17° 30'S et longitude 147° 00'E ; ? latitude 21° 00'S et longitude 152° 55'E ; ? latitude 24° 30'S et longitude 154° 00'E, et enfin le point de latitude 24° 42'S et de longitude 153° 15'E sur la côte australienne.",Article 10 / Règle 1,,fr,I006,qwen3-8b,,
Déchets d'exploitation,"tous les déchets solides (y compris les boues) non visés par d'autres chapitres qui sont recueillis à bord pendant les opérations normales d'entretien ou autres opérations du navire ou qui sont utilisés pour arrimer et manutentionner la cargaison. Les déchets d'exploitation comprennent aussi les agents et additifs de nettoyage présents dans les eaux de lavage des cales à cargaison et des surfaces extérieures, mais non les eaux grises, les eaux de cale ou d'autres rejets analogues essentiels à l'exploitation d'un navire, compte tenu des directives élaborées par l'organisation.",Article 10 / Règle 1,"les eaux grises, les eaux de cale ou d'autres rejets analogues essentiels à l'exploitation d'un navire, compte tenu des directives élaborées par l'organisation.",fr,I006,qwen3-8b,,
Matière plastique,"un matériau solide qui contient comme ingrédient de base un ou plusieurs polymères de masse moléculaire élevée et qui est mis en forme, soit lors de la production des polymères, soit lors de la transformation, à chaud et/ ou sous pression, en un produit fini. Les matières plastiques possèdent toute une gamme de propriétés physiques allant de dures et friables à molles et élastiques.",Article 14,,fr,I006,qwen3-8b,,
toutes les matières plastiques,"toutes les ordures qui sont ou comprennent des matières plastiques sous une forme ou sous une autre, y compris les cordages et les filets de pêche synthétiques, les sacs à ordures en matière plastique et les cendre de matières plastiques incinérées.",Article 14,,fr,I006,qwen3-8b,,
Zone spéciale,"une zone maritime qui, pour des raisons techniques reconnues dues à sa situation océanographique et écologique ainsi qu'au caractère particulier de son trafic, appelle l'adoption de méthodes obligatoires particulières pour prévenir la pollution des mers par les ordures.",Article 1 / Règle 1,,fr,I006,qwen3-8b,,
zone de la mer Méditerranée,"la mer Méditerranée proprement dite, avec les golfes et les mers qu'elle comprend, limitée du côté de la mer Noire par le parallèle 41° N et limitée à l'ouest, dans le détroit de Gibraltar, par le méridien 5° 36'W",Article 1 / Règle 1 / 1,,fr,I006,qwen3-8b,,
zone de la mer Baltique,"la mer Baltique proprement dite ainsi que le golfe de Botnie, le golfe de Finlande et l'accès à la mer Baltique délimité par le parallèle de Skagen dans le Skagerrak (57° 44,8'N)",Article 1 / Règle 1 / 2,,fr,I006,qwen3-8b,,
zone de la mer Noire,"la mer Noire proprement dite ainsi que la mer d'Azov, limitée du côté de la Méditerranée par le parallèle 41° N",Article 1 / Règle 1 / 3,,fr,I006,qwen3-8b,,
zone de la mer Rouge,"la mer Rouge proprement dite ainsi que les golfes de Suez et d'Akaba, limitée au sud par la loxodromie reliant Ras Siyan (12° 28,5'N, 43° 19,6'E) et Husn Murad (12° 40,4'N, 43° 30,2'E)",Article 1 / Règle 1 / 4,,fr,I006,qwen3-8b,,
zone des Golfes,"la zone maritime située au nord-ouest de la loxodromie reliant Ras el Had (22° 30'N, 59° 48'E) et Ras Al Fasteh (25° 04'N, 61° 25'E)",Article 1 / Règle 1 / 5,,fr,I006,qwen3-8b,,
zone de la mer du Nord,"la mer du Nord proprement dite et les mers qu'elle comprend, limitée comme suit : la mer du Nord au sud de la latitude 62° N et à l'est de la longitude 4° W ; le Skagerrak, dont la limite méridionale est déterminée à l'est du parallèle de Skagen par la latitude 57° 44,8'N ; et la Manche et ses abords à l'est de la longitude 5° W et au nord de la latitude 48° 30'N",Article 1 / Règle 1 / 6,,fr,I006,qwen3-8b,,
zone de l'Antarctique,la zone maritime située au sud du parallèle 60° S,Article 1 / Règle 1 / 7,,fr,I006,qwen3-8b,,
région des Caraïbes,"le golfe du Mexique et la mer des Caraïbes proprement dits, avec les baies et les mers qu'ils comprennent, ainsi que la partie de l'océan Atlantique située à l'intérieur des limites constituées par le parallèle 30° N depuis la Floride vers l'est jusqu'au méridien 77° 30'W, puis par une loxodromie jusqu'à l'intersection du parallèle 20° N et du méridien 59° W, une loxodromie jusqu'à l'intersection du parallèle 7° 20'N et du méridien 50° W et une loxodromie vers le sud-ouest jusqu'à la limite orientale de la Guyane française.",Article 1 / Règle 1 / 8,,fr,I006,qwen3-8b,,
ordures,toutes les ordures,Règle 3 / 1,,fr,I006,qwen3-8b,,
matières plastiques,"toutes les matières plastiques, y compris mais sans s'y limiter les cordages et les filets de pêche synthétiques, les sacs à ordures en matière plastique et les cendres de matières plastiques incinérées",Règle 3 / 2,,fr,I006,qwen3-8b,,
huile à friture,l'huile à friture,Règle 3 / 3,,fr,I006,qwen3-8b,,
déchets alimentaires broyés ou concassés,les déchets alimentaires broyés ou concassés,Règle 4 / 1 - 1,,fr,I006,qwen3-8b,,
tamis,un tamis dont les ouvertures ne dépassent pas 25 mm,Règle 4 / 1 - 1,,fr,I006,qwen3-8b,,
déchets alimentaires non traités,les déchets alimentaires qui n'ont pas été traités de la manière indiquée à l'alinéa 1 ci-dessus,Règle 4 / 1 - 2,,fr,I006,qwen3-8b,,
résidus de cargaison,les résidus de cargaison qui ne peuvent pas être récupérés complètement à l'aide des méthodes couramment disponibles en vue de leur déchargement,Règle 4 / 1 - 3,,fr,I006,qwen3-8b,,
substance classée comme nuisible pour le milieu marin,"aucune substance classée comme nuisible pour le milieu marin, compte tenu des directives élaborées par l'organisation",Règle 4 / 1 - 3,,fr,I006,qwen3-8b,,
carcasses d'animaux,les carcasses d'animaux,Règle 4 / 1 - 4,,fr,I006,qwen3-8b,,
agents ou additifs de nettoyage,"les agents ou additifs de nettoyage présents dans les eaux de lavage des cales à cargaison, du pont et des surfaces extérieures",Règle 4 / 2,,fr,I006,qwen3-8b,,
substances nuisibles pour le milieu marin,"ces substances ne doivent pas être nuisibles pour le milieu marin, compte tenu des directives élaborées par l'organisation",Règle 4 / 2,,fr,I006,qwen3-8b,,
ordures mélangées avec d'autres substances,les ordures mélangées avec d'autres substances dont le rejet est interdit ou est soumis à des prescriptions différentes ou sont contaminées par de telles substances,Règle 4 / 3,,fr,I006,qwen3-8b,,
prescriptions spéciales,prescriptions spéciales pour l'évacuation des ordures provenant des plates-formes fixes ou flottantes,Règle 5,,fr,I006,qwen3-8b,,
ordures,des ordures provenant des plates-formes fixes ou flottantes et de tous les autres navires se trouvant le long du bord ou à moins de 500 mètres de ces plates-formes.,Règle 6 / 1.1,,fr,I006,qwen3-8b,,
déchets alimentaires,des déchets alimentaires en provenance des plates-formes fixes ou flottantes situées à plus de douze milles marins de la terre la plus proche et de tous les autres navires se trouvant le long du bord ou à moins de 500 mètres de ces plates-formes.,Règle 6 / 2.1,,fr,I006,qwen3-8b,,
broyeur ou concasseur,des broyeurs ou concasseurs.,Règle 6 / 2.1,,fr,I006,qwen3-8b,,
tamis,un tamis dont les ouvertures ne dépassent pas 25 mm.,Règle 6 / 2.1,,fr,I006,qwen3-8b,,
zone spéciale,des zones spéciales.,Règle 6 / 1.1,,fr,I006,qwen3-8b,,
navire,des navires se trouvant le long du bord ou à moins de 500 mètres de ces plates-formes.,Règle 6 / 1.1,,fr,I006,qwen3-8b,,
déchets alimentaires,"des déchets alimentaires aussi loin que possible de la terre la plus proche, mais en aucun cas à moins de douze milles marins de la terre la plus proche ou de la plate-forme glaciaire la plus proche.",Règle 6 / 1.1.1,,fr,I006,qwen3-8b,,
broyés ou concassés,des déchets alimentaires doivent être broyés ou concassés.,Règle 6 / 1.1.1,,fr,I006,qwen3-8b,,
contaminés,les déchets alimentaires ne doivent être contaminés par aucun autre type d'ordures.,Règle 6 / 1.1.1,,fr,I006,qwen3-8b,,
produits avicoles introduits,"l'évacuation de produits avicoles introduits, y compris toute volaille ou partie de volaille, est interdite dans la zone de l'Antarctique, à moins qu'ils n'aient été traités pour les stériliser.",Règle 6 / 1.1.1,,fr,I006,qwen3-8b,,
résidus de cargaison,"des résidus de cargaison qui ne peuvent pas être récupérés au moyen des méthodes couramment disponibles en vue de leur déchargement, si toutes les conditions suivantes sont remplies :",Règle 6 / 1.2,,fr,I006,qwen3-8b,,
agents ou additifs de nettoyage,"des agents ou additifs de nettoyage présents dans les eaux de lavage des cales ne contiennent pas de substance classée comme nuisible pour le milieu marin, compte tenu des directives élaborées par l'organisation ;",Règle 6 / 1.2.1,,fr,I006,qwen3-8b,,
port de départ,le port de départ et le port suivant de destination se trouvent à l'intérieur de la zone spéciale et le navire ne sortira pas de cette zone entre ces deux ports ;,Règle 6 / 1.2.2,,fr,I006,qwen3-8b,,
installation de réception adéquate,"aucune installation de réception adéquate n'est disponible dans ces ports, compte tenu des directives élaborées par l'organisation ;",Règle 6 / 1.2.3,,fr,I006,qwen3-8b,,
rejet des eaux de lavage des cales à cargaison,le rejet des eaux de lavage des cales à cargaison qui contiennent des résidus doit se faire aussi loin que possible de la terre la plus proche ou de la plate-forme glaciaire la plus proche mais en aucun,Règle 6 / 1.2.4,,fr,I006,qwen3-8b,,
cas,cas à moins de douze milles marins de la terre ou de la plate-forme glaciaire la plus proche.,,,,I006,qwen3-8b,,
agents ou additifs de nettoyage,"Les agents ou additifs de nettoyage présents dans les eaux de lavage du pont et des surfaces extérieures peuvent être rejetés dans la mer mais uniquement si ces substances ne sont pas nuisibles pour le milieu marin, compte tenu des directives élaborées par l'organisation.",,,,I006,qwen3-8b,,
zone de l'Antarctique,Les règles ci-après s'appliquent à la zone de l'Antarctique (en plus des règles du paragraphe 1 du présent article) :,,,,I006,qwen3-8b,,
parties,". ................ 1 chaque partie dont les ports sont utilisés par des navires partant vers la zone de l'Antarctique ou en revenant s'engage à assurer la mise en place, dès que possible, d'installations adéquates pour la réception de toutes les ordures de tous les navires, compte tenu des besoins des navires qui les utilisent et sans leur imposer de retard excessif ;",,,,I006,qwen3-8b,,
navires,". ................ 2 chaque Partie veille à ce que tous les navires autorisés à battre son pavillon, avant d'entrer dans la zone de l'Antarctique, ont à bord une capacité suffisante pour conserver toutes les ordures pendant qu'ils opèrent dans la zone et ont conclu des accords pour décharger ces ordures dans une installation de réception après leur départ de la zone.",,,,I006,qwen3-8b,,
ordures,"Lorsque les ordures sont mélangées avec d'autres substances dont le rejet est interdit ou est soumis à des prescriptions différentes ou sont contaminées par de telles substances, les dispositions les plus rigoureuses s'appliquent.",,,,I006,qwen3-8b,,
règles,"Règle 7 Exceptions. 1. Les régles.3,4,5 et 6 de la présente annexe ne s'appliquent pas :",,,,I006,qwen3-8b,,
rejet d'ordures,. 1 au rejet d'ordures qu'effectue un navire pour assurer sa propre sécurité et celle des personnes à bord ou la sauvegarde de la vie humaine en mer ; ou,,,,I006,qwen3-8b,,
perte accidentelle d'ordures,". 2 à la perte accidentelle d'ordures résultant d'une avarie survenue au navire ou à son équipement, à condition que toutes les précautions raisonnables aient été prises, avant et après l'avarie, pour empêcher ou réduire au minimum cette perte accidentelle ; ou",,,,I006,qwen3-8b,,
perte accidentelle d'apparaux de pêche,". 3 à la perte accidentelle d'apparaux de pêche d'un navire, à condition que toutes les précautions raisonnables aient été prises pour empêcher cette perte ; ou",,,,I006,qwen3-8b,,
rejet d'apparaux de pêche,. 4 au rejet d'apparaux de pêche qu'effectue un navire pour protéger le milieu marin ou assurer sa sécurité ou celle de son équipage.,,,,I006,qwen3-8b,,
obligation d'être en route,2. Exception à l'obligation d'être en route : L'obligation d'être en route prescrite aux régles 4 et 6 ne s'applique pas au rejet de déchets alimentaires lorsqu'il est clair que la conservation de ces déchets alimentaires à bord du navire présente un risque sanitaire imminent pour les personnes à bord.,,,,I006,qwen3-8b,,
déchets alimentaires,L'obligation d'être en route prescrite aux régles 4 et 6 ne s'applique pas au rejet de déchets alimentaires lorsqu'il est clair que la conservation de ces déchets alimentaires à bord du navire présente un risque sanitaire imminent pour les personnes à bord.,,,,I006,qwen3-8b,,
installations de réception,(Sans objet),,,,I006,qwen3-8b,,
normes d'exploitation,1. Un navire qui se trouve dans un port ou un terminal au large d'une autre Partie est soumis à une,,,,I006,qwen3-8b,,
inspection,"inspection effectuée par des fonctionnaires dûment autorisés par ladite Partie en vue de vérifier l'application des normes d'exploitation prévues par le présent chapitre, lorsqu'il y a de bonnes raisons de penser que le capitaine ou les membres de l'équipage ne sont pas au fait des méthodes essentielles à appliquer à bord pour prévenir la pollution par les ordures.",Règle 9.1,,fr,I006,qwen3-8b,,
procédures de contrôle des navires par l'Etat du port,Se reporter aux Procédures de contrôle des navires par l'Etat du port que l'organisation a adoptées par la résolution A. 787 (19) et modifiées par la résolution A. 882 (21).,Règle 9.4,,fr,I006,qwen3-8b,,
affiches,"des affiches informant l'équipage et les passagers des prescriptions applicables des règles 3, 4, 5 et 6 de la présente annexe relatives à l'évacuation des ordures ;",Règle 10.1.1,,fr,I006,qwen3-8b,,
plan de gestion des ordures,"un plan de gestion des ordures que l'équipage doit suivre. Ce plan doit comprendre des méthodes écrites de compactage, de ramassage, de stockage, de traitement et d'évacuation des ordures, y compris l'utilisation du matériel de bord. La ou les personnes chargées d'exécuter le plan doivent également y être désignées.",Règle 10.2,,fr,I006,qwen3-8b,,
ordures,des ordures,,,fr,I006,qwen3-8b,,
matériel de bord,du matériel de bord,,,fr,I006,qwen3-8b,,
jauge brute,une jauge brute égale ou supérieure à 100 et tout navire autorisé à transporter quinze personnes ou davantage,,,fr,I006,qwen3-8b,,
plate-forme fixe ou flottante,les plates-formes fixes ou flottantes,,,fr,I006,qwen3-8b,,
langue de travail de l'équipage,la langue de travail de l'équipage,,,fr,I006,qwen3-8b,,
navire,tout navire d'une longueur hors tout égale ou supérieure à douze mètres et de toute plate-forme fixe ou flottante,,,fr,I006,qwen3-8b,,
registre des ordures,"Ce registre, qu'il fasse partie ou non du livre de bord réglementaire, doit être conforme au modèle faisant l'objet de l'appendice du présent chapitre.",Article 4 / Règle 1,,fr,I006,qwen3-8b,,
évacuation,"chaque opération d'évacuation ou de rejet dans la mer ou dans une installation de réception portuaire, ou chaque incinération une fois achevée",Article 4 / Règle 1,,fr,I006,qwen3-8b,,
rejet,"chaque opération d'évacuation ou de rejet dans la mer ou dans une installation de réception portuaire, ou chaque incinération une fois achevée",Article 4 / Règle 1,,fr,I006,qwen3-8b,,
incinération,"chaque opération d'évacuation ou de rejet dans la mer ou dans une installation de réception portuaire, ou chaque incinération une fois achevée",Article 4 / Règle 1,,fr,I006,qwen3-8b,,
plate-forme fixe ou flottante,toute plate-forme fixe ou flottante,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
mention,"la mention correspondante doit être signée, avec indication de la date de l'évacuation ou de l'incinération, par l'officier responsable",Article 4 / Règle 1,,fr,I006,qwen3-8b,,
page du registre remplie,chaque page du registre remplie doit être signée par le capitaine du navire,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
date et heure,la mention portée pour chaque évacuation ou incinération doit comporter la date et l'heure,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
position du navire,"la mention portée pour chaque évacuation ou incinération doit comporter la date et l'heure, la position du navire",Article 4 / Règle 1,,fr,I006,qwen3-8b,,
catégorie des ordures,"la mention portée pour chaque évacuation ou incinération doit comporter la date et l'heure, la position du navire, la catégorie des ordures",Article 4 / Règle 1,,fr,I006,qwen3-8b,,
quantité évacuée ou incinérée,"la mention portée pour chaque évacuation ou incinération doit comporter la date et l'heure, la position du navire, la catégorie des ordures et une estimation de la quantité évacuée ou incinérée",Article 4 / Règle 1,,fr,I006,qwen3-8b,,
conservé à bord,le registre des ordures doit être conservé à bord du navire ou de la plate-forme fixe ou flottante dans un endroit où il soit aisément accessible aux fins d'inspection à tout moment raisonnable,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
période de deux ans,le registre des ordures doit être conservé au moins pendant une période de deux ans à compter de la date de la dernière inscription,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
rejet ou de perte accidentelle,"en cas de rejet ou de perte accidentelle, visé à la régle 7 de la présente annexe, une mention doit être portée dans le registre des ordures ou, dans le cas des navires d'une jauge brute inférieure à 400, dans le livre de bord réglementaire, pour indiquer le lieu, les circonstances et les motifs du rejet ou de la perte et décrire les objets rejetés ou perdus et les précautions raisonnables prises pour empêcher ou réduire au minimum ce rejet ou cette perte accidentelle",Article 4 / Règle 1,,fr,I006,qwen3-8b,,
commission d'étude compétente,la commission d'étude compétente ou la société de classification habilitée peut dispenser de l'application des prescriptions relatives au registre des ordures,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
navire effectuant des voyages d'une durée inférieure ou égale à une 1 heure,tout navire effectuant des voyages d'une durée inférieure ou égale à une 1 heure qui est autorisé à transporter quinze personnes ou davantage,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
jauge brute,les navires d'une jauge brute inférieure à 400,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
plate-formes fixes ou flottantes,les plates-formes fixes ou flottantes,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
autorité compétente,l'autorité compétente peut inspecter le registre des ordures ou le livre de bord réglementaire de tout navire auquel le présent article s'applique pendant que ce navire se trouve dans un de ses ports ou terminaux au large,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
copie de toute mention,elle peut extraire une copie de toute mention portée sur ce registre ou ce livre,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
certifier l'authenticité,et peut exiger que le capitaine du navire en certifie l'authenticité,Article 4 / Règle 1,,fr,I006,qwen3-8b,,
poursuite,"Toute copie ainsi certifiée par le capitaine du navire est en cas de poursuite, admissible comme preuve des faits mentionnés dans le registre de la cargaison ou le livre de bord réglement",Article 4 / Règle 1,,fr,I006,qwen3-8b,,
aire,L'inspection du registre de la cargaison ou du livre de bord réglementaire et l'établissement de copies certifiées par l'autorité compétente en vertu du présent paragraphe doivent être effectués le plus rapidement possible sans que le navire ne soit indûment retardé.,paragraphe 6,,fr,I006,qwen3-8b,,
perte accidentelle ou le rejet d'apparaux de pêche,"visé par la régle .7. point 1.3 et point 1.4, qui constitue une menace grave pour le milieu marin ou la navigation doit être notifié au centre de sécurité des navires compétent et, si la perte ou le rejet s'est produit dans les eaux relevant de la juridiction d'un Etat côtier, également à cet Etat.",paragraphe 6,,fr,I006,qwen3-8b,,
directives pour l'établissement des plans de gestion des ordures,que le Comité de la protection du milieu marin a adoptées par la résolution MEPC.71(38) ; voir la circulaire MEPC/Circ.317.,point 1.3,,fr,I006,qwen3-8b,,
